"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"179","$94,930,097","-10.7%","$120,086,940","-7.5%",129,"Madea's Family Reunion","-","-","-",8,"false",2006
"180","$106,280,152","+7.4%","$129,840,074","+6.2%",115,"Eight Below","-","-","-",7,"false",2006
"181","$128,140,794","-1.2%","$156,942,068","-0.6%",122,"Eight Below","-","-","-",7,"true",2006
"182","$98,949,725","+30.1%","$122,225,918","+15.2%",120,"The Pink Panther","-","-","-",6,"false",2006
"183","$76,084,313","-18.6%","$106,063,593","-16.1%",120,"When a Stranger Calls","-","-","-",5,"false",2006
"184","$93,425,268","+6.4%","$126,350,780","+3.8%",113,"Big Momma's House 2","-","-","-",4,"false",2006
"185","$87,776,641","-5.2%","$121,699,037","-3.5%",107,"Underworld: Evolution","-","-","-",3,"false",2006
"186","$92,636,327","-5.4%","$126,111,528","-1.5%",91,"Glory Road","-","-","-",2,"false",2006
"187","$114,402,747","-15.8%","$154,432,915","-8.3%",102,"Glory Road","-","-","-",2,"true",2006
"188","$97,887,282","-20.6%","$128,035,945","-14.4%",94,"Hostel","-","-","-",1,"false",2006
"189","$232,891,078","+33%","$275,032,134","+29.1%",74,"National Treasure: Book of Secrets","-","-","-",52,"true",2007
"190","$157,924,807","+6.9%","$185,938,245","+16.4%",91,"National Treasure: Book of Secrets","-","-","-",52,"false",2007
"191","$220,037,531","+50.9%","$249,297,664","+39%",67,"National Treasure: Book of Secrets","-","-","-",51,"true",2007
"192","$147,707,092","-1.1%","$159,705,268","-1%",78,"National Treasure: Book of Secrets","-","-","-",51,"false",2007
"193","$149,415,413","+119.3%","$161,252,186","+93.9%",105,"I Am Legend","-","-","-",50,"false",2007
"194","$68,128,819","-0.5%","$83,158,657","-1.5%",124,"The Golden Compass","-","-","-",49,"false",2007
"195","$68,453,426","-11.3%","$84,456,667","-9.6%",121,"Enchanted","-","-","-",48,"true",2007
"196","$139,986,104","-0.5%","$162,176,916","+0.1%",120,"Enchanted","-","-","-",47,"true",2007
"197","$169,169,508","-0.8%","$193,662,361","+0.3%",55,"Enchanted","-","-","-",47,"true",2007
"198","$200,185,564","+1.5%","$228,209,311","+2.2%",56,"Enchanted","-","-","-",47,"true",2007
"199","$90,445,557","-4%","$104,572,430","-7.9%",116,"Beowulf","-","-","-",46,"false",2007
"200","$94,231,894","-20.8%","$113,590,417","-15.8%",130,"Bee Movie","-","-","-",45,"false",2007
"201","$118,917,527","+46.4%","$134,982,945","+31.8%",113,"American Gangster","-","-","-",44,"false",2007
"202","$81,239,698","+17.9%","$102,425,272","+13%",129,"Saw IV","-","-","-",43,"false",2007
"203","$68,917,610","-14.2%","$90,610,321","-9.4%",142,"30 Days of Night","-","-","-",42,"false",2007
"204","$80,316,757","+27.3%","$100,014,244","+18.3%",140,"Why Did I Get Married?","-","-","-",41,"false",2007
"205","$63,082,114","-13.4%","$84,553,458","-7.2%",129,"The Game Plan","-","-","-",40,"false",2007
"206","$71,979,952","-34.1%","$92,216,061","-23.3%",57,"The Game Plan","-","-","-",40,"true",2007
"207","$72,818,734","-3.1%","$91,136,426","-6.2%",133,"The Game Plan","-","-","-",39,"false",2007
"208","$75,128,042","+24.5%","$97,200,703","+22.5%",133,"Resident Evil: Extinction","-","-","-",38,"false",2007
"209","$60,351,939","-2.3%","$79,356,601","-0.8%",135,"The Brave One","-","-","-",37,"false",2007
"210","$61,765,508","-32.7%","$80,016,875","-32.3%",129,"3:10 to Yuma","-","-","-",36,"false",2007
"211","$113,621,805","+27.7%","$148,188,768","+14.6%",118,"Halloween","-","-","-",35,"true",2007
"212","$91,762,724","+8.3%","$118,256,479","+7.7%",110,"Halloween","-","-","-",35,"false",2007
"213","$84,691,057","-22%","$109,818,926","-15.8%",115,"Superbad","-","-","-",34,"false",2007
"214","$108,565,896","-19.5%","$130,369,644","-16.1%",119,"Superbad","-","-","-",33,"false",2007
"215","$134,842,684","-14.4%","$155,463,782","-12.4%",107,"Rush Hour 3","-","-","-",32,"false",2007
